cod_municipio;cod_unico_endereco;num_quadra;nom_logradouro;num_endereco;nom_logradouro_adjacente;dim_testada;dim_profundidade
4104501;4104501.123951-1;4104501.123951-1; RUA PARAISO ;1117;;10;20
4104501;4104501.123960-1;4104501.123960-1; RUA PARAISO ;1105;;10;20
4104501;4104501.123978-0;4104501.123978-0; RUA PARAISO ;1091;;10;20
4104501;4104501.123986-1;4104501.123986-1; RUA PARAISO ;1079;;10;20
4104501;4104501.123994-1;4104501.123994-1; RUA PARAISO ;1067;;10;20
4104501;4104501.124-1;4104501.124-1; RUA PADRE CIRILO;3221;;10;20
4104501;4104501.124010-1;4104501.124010-1; RUA TAMOIOS;1468;;10;20
4104501;4104501.124010-2;4104501.124010-2; RUA TAMOIOS;1468;;10;20
4104501;4104501.124028-0;4104501.124028-0; RUA AIMORES ;2415;;10;20
4104501;4104501.124036-1;4104501.124036-1; RUA AIMORES ;2403;;10;20
4104501;4104501.124036-2;4104501.124036-2; RUA AIMORES ;2403;;10;20
4104501;4104501.124052-0;4104501.124052-0; RUA TIBIRICA;;;10;20
4104501;4104501.124061-0;4104501.124061-0; RUA MINAS GERAIS;4782;;10;20
4104501;4104501.124079-1;4104501.124079-1; RUA MINAS GERAIS;4794;;10;20
4104501;4104501.12408-1;4104501.12408-1; RUA TAMOIOS ;1016;;10;20
4104501;4104501.12408-2;4104501.12408-2; RUA TAMOIOS ;1016;;10;20
4104501;4104501.124087-0;4104501.124087-0; RUA MINAS GERAIS;4810;;10;20
4104501;4104501.124095-0;4104501.124095-0; RUA OTTILIA ROYER ;1046;;10;20
4104501;4104501.124109-0;4104501.124109-0; RUA OTTILIA ROYER ;1070;;10;20
4104501;4104501.124117-0;4104501.124117-0; RUA OTTILIA ROYER ;1082;;10;20
4104501;4104501.124125-1;4104501.124125-1; RUA OTTILIA ROYER ;1090;;10;20
4104501;4104501.124133-1;4104501.124133-1; RUA OTTILIA ROYER ;1104;;10;20
4104501;4104501.124141-0;4104501.124141-0; RUA OTTILIA ROYER ;1100;;10;20
4104501;4104501.124150-1;4104501.124150-1; RUA OTTILIA ROYER ;1128;;10;20
4104501;4104501.12416-1;4104501.12416-1; RUA AIMORES;1113;;10;20
4104501;4104501.124168-1;4104501.124168-1; RUA OTTILIA ROYER ;1140;;10;20
4104501;4104501.124176-0;4104501.124176-0; RUA OTTILIA ROYER ;1141;;10;20
4104501;4104501.124184-1;4104501.124184-1; RUA OTTILIA ROYER ;1127;;10;20
4104501;4104501.124192-1;4104501.124192-1; RUA OTTILIA ROYER ;1115;;10;20
4104501;4104501.124206-1;4104501.124206-1; RUA OTTILIA ROYER ;1109;;10;20
4104501;4104501.124214-1;4104501.124214-1; RUA OTTILIA ROYER ;1091;;10;20
4104501;4104501.124222-0;4104501.124222-0; RUA OTTILIA ROYER ;1083;;10;20
4104501;4104501.124231-1;4104501.124231-1; RUA OTTILIA ROYER ;1071;;10;20
4104501;4104501.12424-1;4104501.12424-1; RUA TAMOIOS ;1014;;10;20
4104501;4104501.124249-0;4104501.124249-0; RUA OTTILIA ROYER ;1047;;10;20
