COD_UNICO_ENDERECO;COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;COD_SETOR;NUM_QUADRA;NUM_FACE;CEP;DSC_LOCALIDADE;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;NV_GEO_COORD;COD_ESPECIE;DSC_ESTABELECIMENTO;COD_INDICADOR_ESTAB_ENDERECO;COD_INDICADOR_CONST_ENDERECO;COD_INDICADOR_FINALIDADE_CONST;COD_TIPO_ESPECI
72782613;43;4309803;430980305;43098030500;430980305000003P;7;15;99940000;CENTRO;RUA;;PAULINA PANSERA;599;;;;;;;;;;;;-28.057298;-51.860597;1;1;;;;;101
72782614;43;4309803;430980305;43098030500;430980305000003P;7;15;99940000;CENTRO;RUA;;PAULINA PANSERA;0;SN;;;;;;;;;;;-28.057195;-51.860573;1;1;;;;;101
220186915;43;4309803;430980305;43098030500;430980305000003P;7;15;99940000;CENTRO;RUA;;PAULINA PANSERA;633;;;;;;;;;;;;-28.057586;-51.860691;1;1;;;;;101
220186921;43;4309803;430980305;43098030500;430980305000003P;7;15;99940000;CENTRO;RUA;;PAULINA PANSERA;599;;;;;;;;;;;;-28.057322;-51.860650;1;1;;;;;101
220187193;43;4309803;430980305;43098030500;430980305000003P;12;3;99940000;CENTRO;RUA;;PAULINA PANSERA;580;;;;;;;;;;;;-28.057159;-51.860322;1;1;;;;;101
224368121;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;95;;PORAO;;;;;;;;;;-28.055316;-51.854200;1;1;;;;;101
72781615;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;231;;APARTAMENTO;202;;;;;;;;;-28.056061;-51.853270;2;1;;;;;103
224368113;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;7;;APARTAMENTO;2;;;;;;;;;-28.055824;-51.853465;1;6;SALAO DA ELI ANA;1;;;
220186912;43;4309803;430980305;43098030500;430980305000003P;7;15;99940000;CENTRO;RUA;;PAULINA PANSERA;633;;;;;;;;;;;;-28.057584;-51.860738;1;1;;;;;101
72781621;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;247;;;;;;;;;;;;-28.056414;-51.853578;1;1;;;;;101
72783052;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.081035;-51.842505;1;1;;;;;101
72783052;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.081035;-51.842505;1;3;AGRICULTURA;1;;;
72783056;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.086212;-51.832725;1;1;;;;;101
72783056;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.086212;-51.832725;1;3;AGRICULTURA;1;;;
72781619;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;231;;APARTAMENTO;301;;;;;;;;;-28.056061;-51.853270;2;1;;;;;103
72781586;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;37;;FRENTE;;;;;;;;;;-28.055684;-51.853673;1;6;REVITALIZE CENTRO DE SAUDE;1;;;
72781591;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;25;;ANDAR;2;;;;;;;;;-28.055979;-51.853472;1;1;;;;;101
224368127;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;193;;;;;;;;;;;;-28.056799;-51.853801;1;1;;;;;101
224368114;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;29;;;;;;;;;;;;-28.055609;-51.853627;1;1;;;;;101
72783063;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.098191;-51.819899;1;1;;;;;101
72783063;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.098191;-51.819899;1;3;AGRICULTURA;1;;;
72781589;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;95;;SALA;1;;;;;;;;;-28.055509;-51.854067;1;6;JESSICA STEFANI ADVOGADA;1;;;
72783074;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.101895;-51.813207;1;1;;;;;101
72783074;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.101895;-51.813207;1;3;AGRICULTURA;1;;;
72782691;43;4309803;430980305;43098030500;430980305000003P;12;3;99940000;CENTRO;RUA;;PAULINA PANSERA;594;;;;;;;;;;;;-28.057282;-51.860396;1;1;;;;;101
72781915;43;4309803;430980305;43098030500;430980305000008P;19;2;99940000;CENTRO;RUA;;CARLOS PANSERA;203;;;;;;;;;;;;-28.053991;-51.860359;1;1;;;;;101
72782612;43;4309803;430980305;43098030500;430980305000003P;7;15;99940000;CENTRO;RUA;;PAULINA PANSERA;585;;;;;;;;;;;;-28.057251;-51.860615;1;1;;;;;101
224368440;43;4309803;430980305;43098030500;430980305000009P;26;20;99940000;CENTRO;RUA;;DOZE;0;SN;;;;;;;;;;;-28.048618;-51.853087;1;1;;;;;101
72783055;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.086675;-51.837122;1;1;;;;;101
72783055;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.086675;-51.837122;1;3;AGRICULTURA;1;;;
72782701;43;4309803;430980305;43098030500;430980305000003P;13;2;99940000;CENTRO;RUA;;SANANDUVA;751;;;;;;;;;;;;-28.056975;-51.859776;1;1;;;;;101
224368125;43;4309803;430980305;43098030500;430980305000009P;6;6;99940000;CENTRO;RUA;;NOVA FIUME;179;;;;;;;;;;;;-28.055384;-51.853310;1;1;;;;;101
208661146;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.081146;-51.841923;1;1;;;;;101
209729798;43;4309803;430980305;43098030500;430980305000007P;0;69;99940000;CENTRO;ESTRADA;;IBIACA A SANANDUVA;0;SN;;;;;;;;;;;-28.045850;-51.851855;1;7;;;1;1;
72781623;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;187;;;;;;;;;;;;-28.056726;-51.853721;1;1;;;;;101
208076307;43;4309803;430980315;43098031500;430980315000001P;5;7;99945000;VILA VITORIA;RUA;;B;0;SN;;;;;;;;;;;-28.178766;-51.760061;1;1;;;;;101
72781618;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;231;;APARTAMENTO;302;;;;;;;;;-28.056061;-51.853270;2;1;;;;;103
72783059;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.087590;-51.822346;1;1;;;;;101
72783059;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.087590;-51.822346;1;3;AGRICULTURA;1;;;
224368117;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;95;;SALA;2;;;;;;;;;-28.055576;-51.854067;1;6;PLANTA AGROPECUARIA;1;;;
72783062;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.099727;-51.830221;1;1;;;;;101
72783062;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.099727;-51.830221;1;3;AGRICULTURA;1;;;
209332028;43;4309803;430980310;43098031000;430980310000001P;1;3;99943000;RIO TELHA;RUA;;F;0;SN;;;;;;;;;;;-28.138145;-51.858588;1;1;;;;;101
224368442;43;4309803;430980305;43098030500;430980305000009P;26;20;99940000;CENTRO;RUA;;DOZE;0;SN;;;;;;;;;;;-28.045730;-51.854750;1;1;;;;;101
72781584;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;25;;ANDAR;1;SALA;2;;;;;;;-28.055728;-51.853519;1;6;LOJA LEBES;1;;;
208814385;43;4309803;430980305;43098030500;430980305000008P;19;2;99940000;CENTRO;RUA;;CARLOS PANSERA;0;SN;;;;;;;;;;;-28.053692;-51.860197;1;6;DEPOSITO DE MATERIAIS DE CONSTRUCAO CARRA;1;;;
72783051;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.080869;-51.842345;1;1;;;;;101
72783051;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.080869;-51.842345;1;3;LAVOURA;1;;;
208661154;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.100007;-51.830311;1;1;;;;;101
72781582;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;7;;ANDAR;1;;;;;;;;;-28.055774;-51.853324;1;6;COMPONER MATERIAS DE CONSTRUCAO;1;;;
208661153;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.083770;-51.827505;1;3;GALPAO;1;;;
209729800;43;4309803;430980305;43098030500;430980305000007P;0;69;99940000;CENTRO;ESTRADA;;IBIACA A SANANDUVA;0;SN;;;;;;;;;;;-28.044562;-51.852605;1;7;;;1;1;
72781617;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;231;;APARTAMENTO;303;;;;;;;;;-28.056061;-51.853270;2;1;;;;;103
72781624;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;293;;TERREO;;;;;;;;;;-28.056675;-51.853613;1;6;LOJA DE CONFECCOES;1;;;
72783057;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.083977;-51.827134;1;6;SALAO LINHA CAMPOS;1;;;
72781583;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;7;;ANDAR;2;;;;;;;;;-28.055809;-51.853348;1;1;;;;;101
208076312;43;4309803;430980315;43098031500;430980315000001P;5;7;99945000;VILA VITORIA;RUA;;B;0;SN;;;;;;;;;;;-28.178751;-51.760289;1;1;;;;;101
209729803;43;4309803;430980305;43098030500;430980305000007P;0;69;99940000;CENTRO;ESTRADA;;IBIACA A SANANDUVA;0;SN;;;;;;;;;;;-28.044953;-51.852374;1;7;;;1;1;
72781622;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;261;;;;;;;;;;;;-28.056352;-51.853494;1;1;;;;;101
72781585;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;25;;ANDAR;1;SALA;1;;;;;;;-28.055704;-51.853472;1;6;VAZIA;1;;;
208076313;43;4309803;430980315;43098031500;430980315000001P;5;7;99945000;VILA VITORIA;RUA;;B;0;SN;;;;;;;;;;;-28.178654;-51.760466;1;1;;;;;101
208661144;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.081166;-51.842500;1;1;;;;;101
72783108;43;4309803;430980305;43098030500;430980305000005P;0;6;99940000;CAMPINAS;ESTRADA;;IBIACA A CAMPINAS;0;SN;;;;;;;;;;;-28.087013;-51.889846;1;6;CLUBE DE CAMPINAS;1;;;
220186918;43;4309803;430980305;43098030500;430980305000003P;7;15;99940000;CENTRO;RUA;;PAULINA PANSERA;0;SN;;;;;;;;;;;-28.057449;-51.860648;1;1;;;;;101
224368439;43;4309803;430980305;43098030500;430980305000009P;26;20;99940000;CENTRO;RUA;;DOZE;0;SN;;;;;;;;;;;-28.049253;-51.852768;1;1;;;;;101
72783050;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.071005;-51.852346;1;1;;;;;101
72783050;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.071005;-51.852346;1;3;LAVOURA;1;;;
